"filename", "language", "PHP", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\select2\js\select2.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 0, 2
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\simpleline\simple-line-icons.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\stickynote\sticky.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\stickynote\sticky.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 14
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\summernote\summernote-bs4.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\summernote\summernote-bs4.min.js", "JavaScript", 0, 1, 0, 0, 0, 2, 0, 3
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\sweetalert\sweetalert2.all.min.js", "JavaScript", 0, 2, 0, 0, 0, 1, 1, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\sweetalert\sweetalerts.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\toastr\toastr.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\toastr\toastr.min.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2, 4
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\toastr\toatr.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\twitter-bootstrap-wizard\form-wizard.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\twitter-bootstrap-wizard\form-wizard.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\twitter-bootstrap-wizard\jquery.bootstrap.wizard.min.js", "JavaScript", 0, 11, 0, 0, 0, 11, 1, 23
"d:\php course\xammp\htdocs\ihub\admin\assets\plugins\twitter-bootstrap-wizard\prettify.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"d:\php course\xammp\htdocs\ihub\admin\check_event.php", "PHP", 30, 0, 0, 0, 0, 4, 15, 49
"d:\php course\xammp\htdocs\ihub\admin\check_img.php", "PHP", 35, 0, 0, 0, 0, 5, 20, 60
"d:\php course\xammp\htdocs\ihub\admin\check_p_comment.php", "PHP", 38, 0, 0, 0, 0, 5, 15, 58
"d:\php course\xammp\htdocs\ihub\admin\check_prog.php", "PHP", 30, 0, 0, 0, 0, 4, 15, 49
"d:\php course\xammp\htdocs\ihub\admin\check_ser.php", "PHP", 38, 0, 0, 0, 0, 5, 15, 58
"d:\php course\xammp\htdocs\ihub\admin\check_team.php", "PHP", 40, 0, 0, 0, 0, 5, 15, 60
"d:\php course\xammp\htdocs\ihub\admin\check_val.php", "PHP", 29, 0, 0, 0, 0, 2, 16, 47
"d:\php course\xammp\htdocs\ihub\admin\conn.php", "PHP", 14, 0, 0, 0, 0, 1, 3, 18
"d:\php course\xammp\htdocs\ihub\admin\current_coment_delete.php", "PHP", 13, 0, 0, 0, 0, 4, 9, 26
"d:\php course\xammp\htdocs\ihub\admin\dashboard.php", "PHP", 128, 0, 0, 0, 0, 8, 27, 163
"d:\php course\xammp\htdocs\ihub\admin\edit_herro_text.php", "PHP", 197, 0, 0, 0, 0, 0, 66, 263
"d:\php course\xammp\htdocs\ihub\admin\error.php", "PHP", 71, 0, 0, 0, 0, 0, 30, 101
"d:\php course\xammp\htdocs\ihub\admin\event.php", "PHP", 211, 0, 0, 0, 0, 7, 55, 273
"d:\php course\xammp\htdocs\ihub\admin\event_delete.php", "PHP", 13, 0, 0, 0, 0, 4, 9, 26
"d:\php course\xammp\htdocs\ihub\admin\footer.php", "PHP", 0, 0, 0, 0, 0, 0, 1, 1
"d:\php course\xammp\htdocs\ihub\admin\get_device_datetime.php", "PHP", 10, 0, 0, 0, 0, 4, 5, 19
"d:\php course\xammp\htdocs\ihub\admin\header.php", "PHP", 182, 0, 0, 0, 0, 5, 27, 214
"d:\php course\xammp\htdocs\ihub\admin\image.php", "PHP", 199, 0, 0, 0, 0, 5, 44, 248
"d:\php course\xammp\htdocs\ihub\admin\image_delete.php", "PHP", 13, 0, 0, 0, 0, 4, 9, 26
"d:\php course\xammp\htdocs\ihub\admin\image_update.php", "PHP", 39, 0, 0, 0, 0, 6, 19, 64
"d:\php course\xammp\htdocs\ihub\admin\index.php", "PHP", 124, 0, 0, 0, 0, 0, 34, 158
"d:\php course\xammp\htdocs\ihub\admin\insert_active_coment.php", "PHP", 30, 0, 0, 0, 0, 0, 17, 47
"d:\php course\xammp\htdocs\ihub\admin\js\img.js", "JavaScript", 0, 61, 0, 0, 0, 18, 11, 90
"d:\php course\xammp\htdocs\ihub\admin\js\sweet-alert.js", "JavaScript", 0, 2, 0, 0, 0, 4, 0, 6
"d:\php course\xammp\htdocs\ihub\admin\logout.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 14
"d:\php course\xammp\htdocs\ihub\admin\member_delete.php", "PHP", 13, 0, 0, 0, 0, 4, 9, 26
"d:\php course\xammp\htdocs\ihub\admin\our_prog.php", "PHP", 238, 0, 0, 0, 0, 7, 54, 299
"d:\php course\xammp\htdocs\ihub\admin\our_ser.php", "PHP", 286, 0, 0, 0, 0, 24, 61, 371
"d:\php course\xammp\htdocs\ihub\admin\our_team.php", "PHP", 290, 0, 0, 0, 0, 24, 60, 374
"d:\php course\xammp\htdocs\ihub\admin\our_val.php", "PHP", 237, 0, 0, 0, 0, 7, 48, 292
"d:\php course\xammp\htdocs\ihub\admin\p_coment_delete.php", "PHP", 13, 0, 0, 0, 0, 4, 9, 26
"d:\php course\xammp\htdocs\ihub\admin\p_comment.php", "PHP", 247, 0, 0, 0, 0, 24, 63, 334
